items,support,ordered_statistics
"frozenset({'mineral water', 'pancakes', 'whole wheat rice', 'nan'})",0.0019809572496645154,"[OrderedStatistic(items_base=frozenset({'nan', 'pancakes', 'whole wheat rice'}), items_add=frozenset({'mineral water'}), confidence=0.5961538461538461, lift=6.011089908802537)]"
"frozenset({'mineral water', 'nan', 'salmon', 'spaghetti'})",0.003195092338168573,"[OrderedStatistic(items_base=frozenset({'nan', 'salmon', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5, lift=5.041559278350515)]"
"frozenset({'mineral water', 'nan', 'soup', 'spaghetti'})",0.003578503418748802,"[OrderedStatistic(items_base=frozenset({'nan', 'soup', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5233644859813084, lift=5.277146160516427)]"
"frozenset({'mineral water', 'tomatoes', 'nan', 'soup'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'nan', 'tomatoes', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5384615384615384, lift=5.4293715305313235)]"
"frozenset({'olive oil', 'nan', 'tomatoes', 'spaghetti'})",0.002108760943191258,"[OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'tomatoes'}), items_add=frozenset({'spaghetti'}), confidence=0.611111111111111, lift=8.049897119341564)]"
"frozenset({'nan', 'ground beef', 'eggs', 'mineral water', 'chocolate'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'eggs', 'nan', 'ground beef', 'chocolate'}), items_add=frozenset({'mineral water'}), confidence=0.6122448979591837, lift=6.173337891857774)]"
"frozenset({'nan', 'milk', 'frozen vegetables', 'mineral water', 'chocolate'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'chocolate', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5, lift=5.041559278350515)]"
"frozenset({'nan', 'frozen vegetables', 'spaghetti', 'mineral water', 'chocolate'})",0.0019809572496645154,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'chocolate', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5254237288135594, lift=5.29790975013105)]"
"frozenset({'nan', 'spaghetti', 'olive oil', 'mineral water', 'chocolate'})",0.0018531535561377723,"[OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'chocolate', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5471698113207547, lift=5.517178078194903)]"
"frozenset({'nan', 'pancakes', 'spaghetti', 'mineral water', 'chocolate'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'nan', 'pancakes', 'chocolate', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5490196078431373, lift=5.535829795835861)]"
"frozenset({'nan', 'milk', 'frozen vegetables', 'eggs', 'mineral water'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'eggs', 'nan', 'frozen vegetables', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5090909090909091, lift=5.1332239925023435)]"
"frozenset({'nan', 'milk', 'ground beef', 'frozen vegetables', 'mineral water'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'ground beef', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.6511627906976745, lift=6.565751618316951)]"
"frozenset({'nan', 'ground beef', 'frozen vegetables', 'spaghetti', 'mineral water'})",0.002108760943191258,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'ground beef', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5076923076923077, lift=5.119121728786677)]"
"frozenset({'nan', 'milk', 'frozen vegetables', 'spaghetti', 'mineral water'})",0.0021726627899546296,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'spaghetti', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5573770491803278, lift=5.620098867669427)]"
"frozenset({'Butter', 'Milk', 'Panner', 'Ghee', 'Lassi', 'Coffee Powder', 'Sugar', 'Bread'})",0.002236564636718001,"[OrderedStatistic(items_base=frozenset({'Butter', 'Milk', 'Panner', 'Ghee', 'Coffee Powder', 'Sugar', 'Bread'}), items_add=frozenset({'Lassi'}), confidence=0.6603773584905661, lift=2.0508524078227564)]"
"frozenset({'Butter', 'nan', 'Milk', 'Panner', 'Ghee', 'Lassi', 'Coffee Powder', 'Sugar', 'Bread'})",0.002236564636718001,"[OrderedStatistic(items_base=frozenset({'Butter', 'nan', 'Milk', 'Panner', 'Ghee', 'Coffee Powder', 'Sugar', 'Bread'}), items_add=frozenset({'Lassi'}), confidence=0.6603773584905661, lift=2.0508524078227564)]"
